,Project,Location,Site
1,TX Shinnery REU,1,A
2,TX Shinnery REU,1,B
3,TX Shinnery REU,1,C
1,TX Shinnery REU,2,A
2,TX Shinnery REU,2,B
3,TX Shinnery REU,2,C
1,TX Shinnery REU,3,A
2,TX Shinnery REU,3,B
3,TX Shinnery REU,3,C
1,TX Shinnery REU,4,A
2,TX Shinnery REU,4,B
3,TX Shinnery REU,4,C
1,TX Shinnery REU,5,A
2,TX Shinnery REU,5,B
3,TX Shinnery REU,5,C
1,TX Shinnery REU,6,A
2,TX Shinnery REU,6,B
3,TX Shinnery REU,6,C
1,TX Shinnery REU,7,A
2,TX Shinnery REU,7,B
3,TX Shinnery REU,7,C
1,TX Shinnery REU,8,A
2,TX Shinnery REU,8,B
3,TX Shinnery REU,8,C
1,TX Shinnery REU,9,A
2,TX Shinnery REU,9,B
3,TX Shinnery REU,9,C
1,TX Shinnery REU,10,A
2,TX Shinnery REU,10,B
3,TX Shinnery REU,10,C
1,TX Shinnery REU,11,A
2,TX Shinnery REU,11,B
3,TX Shinnery REU,11,C
1,TX Shinnery REU,12,A
2,TX Shinnery REU,12,B
3,TX Shinnery REU,12,C
1,TX Shinnery REU,13,A
2,TX Shinnery REU,13,B
3,TX Shinnery REU,13,C
1,TX Shinnery REU,14,A
2,TX Shinnery REU,14,B
3,TX Shinnery REU,14,C
1,TX Shinnery REU,15,A
2,TX Shinnery REU,15,B
3,TX Shinnery REU,15,C
1,TX Shinnery REU,16,A
2,TX Shinnery REU,16,B
3,TX Shinnery REU,16,C
1,TX Shinnery REU,17,A
2,TX Shinnery REU,17,B
3,TX Shinnery REU,17,C
1,TX Shinnery REU,18,A
2,TX Shinnery REU,18,B
3,TX Shinnery REU,18,C
1,TX Shinnery REU,19,A
2,TX Shinnery REU,19,B
3,TX Shinnery REU,19,C
1,TX Shinnery REU,20,A
2,TX Shinnery REU,20,B
3,TX Shinnery REU,20,C
1,TX Shinnery REU,21,A
2,TX Shinnery REU,21,B
3,TX Shinnery REU,21,C
1,TX Shinnery REU,22,A
2,TX Shinnery REU,22,B
3,TX Shinnery REU,22,C
1,TX Shinnery REU,23,A
2,TX Shinnery REU,23,B
3,TX Shinnery REU,23,C
1,TX Shinnery REU,24,A
2,TX Shinnery REU,24,B
3,TX Shinnery REU,24,C
1,TX Shinnery REU,25,A
2,TX Shinnery REU,25,B
3,TX Shinnery REU,25,C
1,TX Shinnery REU,26,A
2,TX Shinnery REU,26,B
3,TX Shinnery REU,26,C
1,TX Shinnery REU,27,A
2,TX Shinnery REU,27,B
3,TX Shinnery REU,27,C
1,TX Shinnery REU,28,A
2,TX Shinnery REU,28,B
3,TX Shinnery REU,28,C
1,TX Shinnery REU,29,A
2,TX Shinnery REU,29,B
3,TX Shinnery REU,29,C
1,TX Shinnery REU,30,A
2,TX Shinnery REU,30,B
3,TX Shinnery REU,30,C
1,TX Shinnery REU,31,A
2,TX Shinnery REU,31,B
3,TX Shinnery REU,31,C
1,TX Shinnery REU,32,A
2,TX Shinnery REU,32,B
3,TX Shinnery REU,32,C
1,TX Shinnery REU,33,A
2,TX Shinnery REU,33,B
3,TX Shinnery REU,33,C
1,TX Shinnery REU,34,A
2,TX Shinnery REU,34,B
3,TX Shinnery REU,34,C
1,TX Shinnery REU,35,A
2,TX Shinnery REU,35,B
3,TX Shinnery REU,35,C
1,TX Shinnery REU,36,A
2,TX Shinnery REU,36,B
3,TX Shinnery REU,36,C
1,TX Shinnery REU,37,A
2,TX Shinnery REU,37,B
3,TX Shinnery REU,37,C
1,TX Shinnery REU,38,A
2,TX Shinnery REU,38,B
3,TX Shinnery REU,38,C
1,TX Shinnery REU,39,A
2,TX Shinnery REU,39,B
3,TX Shinnery REU,39,C
1,TX Shinnery REU,40,A
2,TX Shinnery REU,40,B
3,TX Shinnery REU,40,C
1,TX Shinnery REU,41,A
2,TX Shinnery REU,41,B
3,TX Shinnery REU,41,C
1,TX Shinnery REU,42,A
2,TX Shinnery REU,42,B
3,TX Shinnery REU,42,C
1,TX Shinnery REU,43,A
2,TX Shinnery REU,43,B
3,TX Shinnery REU,43,C
1,TX Shinnery REU,44,A
2,TX Shinnery REU,44,B
3,TX Shinnery REU,44,C
1,TX Shinnery REU,45,A
2,TX Shinnery REU,45,B
3,TX Shinnery REU,45,C
1,TX Shinnery REU,46,A
2,TX Shinnery REU,46,B
3,TX Shinnery REU,46,C
1,TX Shinnery REU,47,A
2,TX Shinnery REU,47,B
3,TX Shinnery REU,47,C
1,TX Shinnery REU,48,A
2,TX Shinnery REU,48,B
3,TX Shinnery REU,48,C
1,TX Shinnery REU,49,A
2,TX Shinnery REU,49,B
3,TX Shinnery REU,49,C
1,TX Shinnery REU,50,A
2,TX Shinnery REU,50,B
3,TX Shinnery REU,50,C
